,City,Country,Lat,Lng,Hotel Name
0,jamestown,US,42.1,-79.24,Chautauqua Harbor Hotel
1,ulladulla,AU,-35.35,150.47,Bannisters Pavilion
2,batagay-alyta,RU,67.8,130.41,
3,puerto ayora,EC,-0.74,-90.35,Hotel Solymar Galapagos
4,ancud,CL,-41.87,-73.82,Hotel Arena Gruesa
5,rikitea,PF,-23.12,-134.97,Pension Maro'i
6,carnarvon,AU,-24.87,113.63,Hospitality Carnarvon
7,new norfolk,AU,-42.78,147.06,The Woodbridge
8,hobart,AU,-42.88,147.33,The Brunswick Hotel
9,ponta do sol,PT,32.67,-17.1,Hotel Da Vila
10,hilo,US,19.73,-155.09,Hilo Hawaiian Hotel
11,samarai,PG,-10.62,150.67,Nuli Sapi
12,butaritari,KI,3.07,172.79,
13,punta arenas,CL,-53.15,-70.92,Hotel José Nogueira
14,waihi beach,NZ,-37.4,175.93,Waihi Beach Hotel
15,cabedelo,BR,-6.98,-34.83,Hotel Almagre
16,salalah,OM,17.02,54.09,Salalah Gardens Hotel
17,hervey bay,AU,-25.3,152.85,Kondari Hotel
18,ketchikan,US,55.34,-131.65,Cape Fox Lodge
19,avera,US,33.19,-82.53,
20,ribeira grande,PT,38.52,-28.7,Quinta Das Buganvílias
21,guaruja,BR,-23.99,-46.26,Delphin
22,tasiilaq,GL,65.61,-37.64,Hotel Angmagssalik
23,yellowknife,CA,62.46,-114.35,The Explorer Hotel
24,mosquera,CO,4.71,-74.23,HOTEL MADRID PLAZA
25,vila velha,BR,-20.33,-40.29,Golden Tulip Porto Vitória
26,hermanus,ZA,-34.42,19.23,Harbour House Hotel
27,olafsvik,IS,64.89,-23.71,Hotel Olafsvik
28,tura,IN,25.52,90.22,Hotel RIKMAN Continental
29,kapaa,US,22.08,-159.32,Kauai Shores Hotel
30,mataura,NZ,-46.19,168.86,Falls Hotel
31,chokurdakh,RU,70.63,147.92,
32,mikhaylovka,RU,50.06,43.24,Mini-hotel Meduza
33,east london,ZA,-33.02,27.91,The Tusks Lodge
34,hasaki,JP,35.73,140.83,Inn Inubosaki hotel of superb view
35,sao filipe,CV,14.9,-24.5,Hotel Santos Pina
36,port alfred,ZA,-33.59,26.89,MyPond Hotel
37,chuy,UY,-33.7,-53.46,Hotel Internacional
38,paragominas,BR,-2.97,-47.48,
39,komsomolskiy,UZ,40.43,71.72,Hotel Adras
40,poroschia,RO,43.93,25.37,Red Hotel
41,huarmey,PE,-10.07,-78.15,Hotel Miramar
42,nanortalik,GL,60.14,-45.24,Hotel Kap Farvel
43,mwense,ZM,-10.38,28.7,
44,vaini,TO,-21.2,-175.2,Paradise First Hotel
45,lompoc,US,34.64,-120.46,SureStay Plus Hotel by Best Western Lompoc
46,arraial do cabo,BR,-22.97,-42.03,Hotel da Canoa
47,kodiak,US,57.79,-152.41,Best Western Kodiak Inn and Convention Center
48,moose factory,CA,51.26,-80.61,Cree Village Eco Lodge
49,mildura,AU,-34.2,142.15,Quality Hotel Mildura Grand
50,portland,US,45.52,-122.68,Jupiter Hotel Portland
51,avarua,CK,-21.21,-159.78,The Edgewater Resort and Spa
52,albany,US,42.6,-73.97,
53,guerrero negro,MX,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
54,atar,MR,20.52,-13.05,Auberge mer et desert
55,tuktoyaktuk,CA,69.45,-133.04,Hunter's B&B
56,kaitangata,NZ,-46.28,169.85,
57,ushuaia,AR,-54.8,-68.3,Los Cauquenes Resort & Spa
58,saint george,US,37.1,-113.58,Best Western Plus Abbey Inn
59,maumere,ID,-8.62,122.21,Hotel Mathilda
60,lubin,PL,51.4,16.2,Hotel Skarbek
61,chiang khong,TH,20.26,100.4,Fortune Riverview Chiang Khong
62,tiznit,MA,29.58,-9.5,
63,matay,EG,28.42,30.78,
64,hobyo,SO,5.35,48.53,
65,khatanga,RU,71.97,102.5,
66,qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
67,barrow,US,71.29,-156.79,Top of the World Hotel
68,cabo san lucas,MX,22.89,-109.91,Welk Resorts Cabo San Lucas
69,praia,CV,14.92,-23.51,Hotel Oasis Atlantico Praiamar
70,torbay,CA,47.67,-52.73,
71,sitka,US,57.05,-135.33,Westmark Sitka
72,egvekinot,RU,66.32,-179.17,
73,victor harbor,AU,-35.57,138.62,The Anchorage Hotel
74,luderitz,,-26.65,15.16,Obelix Guesthouse
75,san patricio,MX,19.22,-104.7,Grand Isla Navidad Resort
76,busselton,AU,-33.65,115.33,Abbey Beach Resort
77,tadine,NC,-21.55,167.88,
78,leningradskiy,RU,69.38,178.42,
79,sioux lookout,CA,50.1,-91.92,Forest Inn & Conference Centre
80,kavieng,PG,-2.57,150.8,Nusa Island Retreat
81,ilulissat,GL,69.22,-51.1,Hotel Arctic
82,deputatskiy,RU,69.3,139.9,
83,clyde river,CA,70.47,-68.59,Naujaaraaluit – Clyde River Hotel
84,okhotsk,RU,59.38,143.3,Prozhivaniye V Okhotske
85,san cristobal,VE,7.77,-72.22,Lidotel Hotel Boutique San Cristobal
86,dreux,FR,48.67,1.25,The Bubble Lives Denses- Bed and Breakfast near Dreux
87,cape town,ZA,-33.93,18.42,The Silo Hotel
88,pastavy,BY,55.12,26.83,Усадьба Жемчужный край
89,ishcherskaya,RU,43.72,45.13,
90,nikolskoye,RU,59.7,30.79,Tourist House - Sablino
91,sur,OM,22.57,59.53,Resort Sur Beach Holiday منتجع شاطئ صور هوليداي
92,alyangula,AU,-13.85,136.42,Groote Eylandt Lodge
93,srednekolymsk,RU,67.45,153.68,
94,russell,US,32.35,-85.2,
95,hithadhoo,MV,-0.6,73.08,Rekidhiye Inn
96,bairiki,KI,1.33,172.98,Fema Lodge
97,geraldton,AU,-28.77,114.6,Ocean Centre Hotel
98,saint-augustin,CA,51.23,-58.65,
99,hay river,CA,60.82,-115.8,Eileen's Bed & Breakfast - Guest House
100,kahului,US,20.89,-156.47,Courtyard by Marriott Maui Kahului Airport
101,porto seguro,BR,-16.45,-39.06,Arraial d'Ajuda Eco Resort
102,iwanai,JP,42.97,140.51,コテージ アリスの里
103,salamiyah,SY,35.01,37.05,Resort Safari Souria منتجع سفاري سورية
104,lagoa,PT,39.05,-27.98,Graciosa Resort - Biosphere Island Hotel
105,margate,GB,51.38,1.39,Botany Bay Hotel
106,palmer,US,42.16,-72.33,The Trainmaster's Inn
107,nieuw amsterdam,SR,5.88,-55.08,Tucan Residence
108,khrebtovaya,RU,56.7,104.25,
109,norman wells,CA,65.28,-126.83,Heritage Hotel
