,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,jamestown,90,US,1579998908,97,42.1,-79.24,36.0,5.82
1,ulladulla,29,AU,1579998970,49,-35.35,150.47,89.6,8.05
2,batagay-alyta,0,RU,1579998962,54,67.8,130.41,-34.38,4.38
3,puerto ayora,75,EC,1579999060,78,-0.74,-90.35,78.8,8.05
4,ancud,100,CL,1579998934,68,-41.87,-73.82,66.2,6.93
5,rikitea,18,PF,1579998882,77,-23.12,-134.97,79.25,14.03
6,carnarvon,15,AU,1579998931,74,-24.87,113.63,78.8,17.22
7,new norfolk,40,AU,1579998766,60,-42.78,147.06,75.0,8.05
8,hobart,40,AU,1579998924,60,-42.88,147.33,75.0,8.05
9,ponta do sol,20,PT,1579999061,67,32.67,-17.1,60.8,5.82
10,hilo,90,US,1579998933,57,19.73,-155.09,80.6,6.93
11,samarai,67,PG,1579998976,58,-10.62,150.67,87.44,2.62
12,butaritari,12,KI,1579998927,72,3.07,172.79,85.03,10.56
13,punta arenas,75,CL,1579999061,66,-53.15,-70.92,50.0,18.34
14,waihi beach,35,NZ,1579999061,29,-37.4,175.93,84.99,9.51
15,cabedelo,75,BR,1579998866,83,-6.98,-34.83,82.4,5.82
16,salalah,75,OM,1579998931,78,17.02,54.09,77.0,4.7
17,hervey bay,75,AU,1579999062,58,-25.3,152.85,84.99,12.75
18,ketchikan,90,US,1579998837,87,55.34,-131.65,46.4,19.46
19,avera,1,US,1579999062,65,33.19,-82.53,46.4,6.93
20,ribeira grande,100,PT,1579999062,73,38.52,-28.7,54.72,5.19
21,guaruja,24,BR,1579999062,77,-23.99,-46.26,68.0,4.7
22,tasiilaq,100,GL,1579998943,63,65.61,-37.64,30.2,25.28
23,yellowknife,90,CA,1579998856,85,62.46,-114.35,10.4,8.05
24,mosquera,40,CO,1579998992,82,4.71,-74.23,60.8,6.93
25,vila velha,75,BR,1579999062,94,-20.33,-40.29,71.6,4.7
26,hermanus,46,ZA,1579998923,92,-34.42,19.23,62.01,8.01
27,olafsvik,99,IS,1579999063,79,64.89,-23.71,33.89,7.78
28,tura,0,IN,1579998974,78,25.52,90.22,52.34,1.59
29,kapaa,40,US,1579998768,74,22.08,-159.32,78.8,10.29
30,mataura,73,NZ,1579998929,61,-46.19,168.86,74.73,1.39
31,chokurdakh,85,RU,1579998933,82,70.63,147.92,-26.25,4.25
32,mikhaylovka,99,RU,1579999063,87,50.06,43.24,36.0,15.99
33,east london,0,ZA,1579998859,80,-33.02,27.91,75.58,15.05
34,hasaki,75,JP,1579998920,100,35.73,140.83,39.2,4.7
35,sao filipe,33,CV,1579999064,61,14.9,-24.5,74.32,15.77
36,port alfred,0,ZA,1579999064,98,-33.59,26.89,66.99,7.0
37,chuy,24,UY,1579998946,76,-33.7,-53.46,67.91,7.36
38,paragominas,100,BR,1579999064,93,-2.97,-47.48,75.54,4.18
39,komsomolskiy,75,UZ,1579998977,86,40.43,71.72,37.4,4.7
40,poroschia,89,RO,1579999064,73,43.93,25.37,28.99,1.01
41,huarmey,99,PE,1579999064,64,-10.07,-78.15,76.78,6.24
42,nanortalik,100,GL,1579998946,75,60.14,-45.24,23.04,13.27
43,mwense,80,ZM,1579999064,98,-10.38,28.7,64.15,1.3
44,vaini,90,TO,1579998922,88,-21.2,-175.2,80.6,13.87
45,lompoc,1,US,1579998937,82,34.64,-120.46,69.01,12.75
46,arraial do cabo,0,BR,1579999065,83,-22.97,-42.03,75.79,9.4
47,kodiak,90,US,1579998879,62,57.79,-152.41,19.4,17.22
48,moose factory,90,CA,1579999065,100,51.26,-80.61,24.8,4.7
49,mildura,0,AU,1579999065,44,-34.2,142.15,81.0,8.05
50,portland,75,US,1579998908,71,45.52,-122.68,57.2,3.36
51,avarua,99,CK,1579998928,83,-21.21,-159.78,84.2,12.75
52,albany,90,US,1579998902,93,42.6,-73.97,39.99,6.93
53,guerrero negro,0,MX,1579999066,53,27.98,-114.06,67.24,10.31
54,atar,87,MR,1579998934,23,20.52,-13.05,72.72,9.91
55,tuktoyaktuk,90,CA,1579998932,75,69.45,-133.04,-13.0,24.16
56,kaitangata,66,NZ,1579998935,68,-46.28,169.85,66.99,10.56
57,ushuaia,75,AR,1579998657,66,-54.8,-68.3,50.0,23.04
58,saint george,1,US,1579999012,42,37.1,-113.58,62.01,0.18
59,maumere,28,ID,1579999066,73,-8.62,122.21,81.77,1.88
60,lubin,96,PL,1579999067,100,51.4,16.2,33.01,2.24
61,chiang khong,0,TH,1579999067,100,20.26,100.4,53.01,3.04
62,tiznit,42,MA,1579999067,92,29.58,-9.5,47.37,3.49
63,matay,0,EG,1579999067,59,28.42,30.78,42.51,4.94
64,hobyo,99,SO,1579998971,81,5.35,48.53,77.81,15.86
65,khatanga,57,RU,1579998922,91,71.97,102.5,-24.14,2.89
66,qaanaaq,0,GL,1579998921,44,77.48,-69.36,-12.51,5.12
67,barrow,1,US,1579998921,67,71.29,-156.79,-27.4,8.05
68,cabo san lucas,40,MX,1579998965,73,22.89,-109.91,72.0,4.7
69,praia,40,CV,1579999068,47,14.92,-23.51,77.0,16.11
70,torbay,5,CA,1579998913,78,47.67,-52.73,21.0,16.11
71,sitka,90,US,1579998857,81,57.05,-135.33,44.6,19.46
72,egvekinot,79,RU,1579999068,87,66.32,-179.17,-3.48,2.8
73,victor harbor,75,AU,1579999068,73,-35.57,138.62,73.0,8.05
74,luderitz,0,NA,1579998948,82,-26.65,15.16,68.0,10.29
75,san patricio,75,MX,1579999068,83,19.22,-104.7,80.6,11.41
76,busselton,19,AU,1579998920,37,-33.65,115.33,81.0,8.79
77,tadine,50,NC,1579998933,69,-21.55,167.88,81.1,13.69
78,leningradskiy,97,RU,1579998943,95,69.38,178.42,-12.41,4.21
79,sioux lookout,90,CA,1579999069,92,50.1,-91.92,24.8,2.24
80,kavieng,95,PG,1579998949,71,-2.57,150.8,84.36,8.97
81,ilulissat,96,GL,1579998978,46,69.22,-51.1,8.6,14.99
82,deputatskiy,55,RU,1579999069,100,69.3,139.9,-40.23,0.76
83,clyde river,5,CA,1579999069,61,70.47,-68.59,-23.8,4.7
84,okhotsk,71,RU,1579999069,71,59.38,143.3,-19.48,14.83
85,san cristobal,40,VE,1579999069,69,7.77,-72.22,80.6,2.24
86,dreux,90,FR,1579999070,100,48.67,1.25,37.99,4.7
87,cape town,75,ZA,1579998845,88,-33.93,18.42,64.0,11.41
88,pastavy,19,BY,1579999070,94,55.12,26.83,31.53,7.74
89,ishcherskaya,20,RU,1579999070,74,43.72,45.13,30.2,6.71
90,nikolskoye,40,RU,1579998920,86,59.7,30.79,30.99,4.47
91,sur,4,OM,1579998922,82,22.57,59.53,67.23,4.74
92,alyangula,75,AU,1579999070,70,-13.85,136.42,87.8,10.29
93,srednekolymsk,100,RU,1579999070,96,67.45,153.68,-25.67,4.18
94,russell,1,US,1579998860,70,32.35,-85.2,48.0,5.23
95,hithadhoo,100,MV,1579998789,79,-0.6,73.08,82.65,14.88
96,bairiki,20,KI,1579999071,74,1.33,172.98,87.8,6.93
97,geraldton,40,AU,1579999071,78,-28.77,114.6,75.2,13.87
98,saint-augustin,36,CA,1579998888,78,51.23,-58.65,15.12,11.12
99,hay river,90,CA,1579999067,92,60.82,-115.8,12.2,2.24
100,kahului,20,US,1579998670,51,20.89,-156.47,84.2,20.8
101,porto seguro,75,BR,1579999071,83,-16.45,-39.06,80.6,9.17
102,iwanai,100,JP,1579999071,90,42.97,140.51,16.12,3.49
103,salamiyah,0,SY,1579998996,60,35.01,37.05,38.43,9.1
104,lagoa,100,PT,1579998946,67,39.05,-27.98,58.33,10.18
105,margate,90,GB,1579998647,100,51.38,1.39,45.0,8.05
106,palmer,90,US,1579998714,93,42.16,-72.33,46.99,9.17
107,nieuw amsterdam,75,SR,1579999072,83,5.88,-55.08,78.8,8.05
108,khrebtovaya,100,RU,1579999072,91,56.7,104.25,14.18,7.7
109,norman wells,40,CA,1579999037,63,65.28,-126.83,-11.2,13.87
110,doha,0,QA,1579998866,24,25.29,51.53,57.2,12.75
111,airai,100,TL,1579999073,76,-8.93,125.41,76.33,1.03
112,chanthaburi,20,TH,1579999073,94,12.83,102.17,81.0,2.35
113,along,0,IN,1579999073,67,28.17,94.77,38.93,5.1
114,port elizabeth,75,ZA,1579999073,94,-33.92,25.57,68.0,19.46
115,bekovo,77,RU,1579999073,86,52.47,43.71,25.83,17.98
116,hualmay,94,PE,1579999073,73,-11.1,-77.61,73.54,3.8
117,notodden,100,NO,1579999074,92,59.56,9.26,43.0,4.43
118,chumikan,0,RU,1579999074,79,54.72,135.31,-10.28,16.91
119,santa vitoria do palmar,24,BR,1579999074,76,-33.52,-53.37,67.91,7.36
120,fairbanks,1,US,1579998805,75,64.84,-147.72,-7.01,3.36
121,lebu,0,CL,1579998943,69,-37.62,-73.65,64.08,10.94
122,souillac,40,MU,1579998741,78,-20.52,57.52,77.0,12.75
123,santa fe,0,AR,1579999074,39,-31.63,-60.7,89.01,7.0
124,lethem,92,GY,1579999074,50,3.38,-59.8,85.8,17.16
125,arrecife,20,ES,1579999075,72,28.96,-13.55,60.8,4.7
126,saint-philippe,75,RE,1579998959,78,-21.36,55.77,73.4,8.05
127,ballina,75,AU,1579998953,74,-28.87,153.57,82.99,16.11
128,bambous virieux,40,MU,1579999075,78,-20.34,57.76,77.0,12.75
129,atuona,62,PF,1579998934,78,-9.8,-139.03,80.78,15.21
130,naze,75,JP,1579998938,100,28.37,129.48,69.8,9.17
131,kupang,75,ID,1579998961,88,-10.17,123.58,80.6,2.24
132,upernavik,78,GL,1579998925,95,72.79,-56.15,-13.83,6.85
133,camana,65,PE,1579999075,84,-16.62,-72.71,67.64,5.53
134,dunyapur,0,PK,1579999076,93,29.8,71.72,51.8,7.14
135,lorengau,12,PG,1579998930,73,-2.02,147.27,83.16,4.23
136,pecos,1,US,1579999076,14,31.42,-103.49,71.6,8.05
137,mahebourg,40,MU,1579998937,78,-20.41,57.7,77.0,12.75
138,benguela,100,AO,1579998959,76,-12.58,13.41,77.65,3.02
139,udachnyy,85,RU,1579998941,67,66.42,112.4,-27.4,6.71
140,thompson,90,CA,1579998785,92,55.74,-97.86,15.8,3.69
141,isangel,75,VU,1579998761,70,-19.55,169.27,86.0,9.17
142,darhan,3,MN,1579998985,79,49.49,105.92,3.18,5.55
143,darnah,48,LY,1579999077,59,32.77,22.64,59.97,12.66
144,pevek,100,RU,1579998922,96,69.7,170.31,-13.14,1.79
145,itarema,86,BR,1579998981,88,-2.92,-39.92,78.49,6.58
146,bereda,20,ES,1579999077,100,43.27,-7.54,44.01,6.93
147,agirish,40,RU,1579999077,98,61.92,63.02,-7.53,2.21
148,traverse city,90,US,1579998854,93,44.76,-85.62,35.6,6.93
149,paamiut,93,GL,1579999077,64,61.99,-49.67,18.07,21.72
150,provideniya,0,RU,1579998926,68,64.38,-173.3,-4.65,3.67
151,flinders,21,AU,1579999077,49,-34.58,150.86,93.0,8.05
152,ribas do rio pardo,37,BR,1579999078,70,-20.44,-53.76,74.25,5.08
153,poum,89,NC,1579999078,80,-20.23,164.02,79.9,19.82
154,grindavik,90,IS,1579998977,86,63.84,-22.43,33.8,10.29
155,myitkyina,0,MM,1579999078,72,25.38,97.4,45.39,3.65
156,broken hill,0,AU,1579999078,26,-31.95,141.43,82.4,12.75
157,muravlenko,100,RU,1579998977,95,63.79,74.52,2.16,9.78
158,pisco,75,PE,1579998942,83,-13.7,-76.22,77.0,21.92
159,opuwo,69,NA,1579998935,38,-18.06,13.84,70.47,4.94
160,vanavara,100,RU,1579999079,94,60.34,102.28,25.12,13.58
161,san quintin,45,MX,1579999079,64,30.48,-115.95,63.77,5.68
162,nabire,87,ID,1579998967,70,-3.37,135.48,85.39,0.54
163,coquimbo,29,CL,1579998955,88,-29.95,-71.34,64.4,10.29
164,husavik,90,IS,1579998943,92,66.04,-17.34,30.2,8.05
165,nome,1,US,1579998983,82,64.5,-165.41,-16.6,7.85
166,svetlyy,75,RU,1579999079,93,54.67,20.13,41.0,13.42
167,bredasdorp,31,ZA,1579998922,63,-34.53,20.04,64.4,12.75
168,takoradi,94,GH,1579999080,86,4.88,-1.76,75.9,1.32
169,georgetown,20,MY,1579998935,88,5.41,100.34,78.8,3.02
170,sulangan,13,PH,1579999080,83,11.14,123.72,80.4,6.73
171,saldanha,29,ZA,1579998922,82,-33.01,17.94,62.6,3.36
172,sortavala,0,RU,1579999080,82,61.71,30.69,27.55,10.31
173,chulman,100,RU,1579998939,99,56.85,124.91,-18.31,1.57
174,bluff,46,NZ,1579998928,51,-46.6,168.33,70.05,5.82
175,miraflores,75,MX,1579999080,39,19.22,-98.81,77.0,9.17
176,ossora,100,RU,1579999081,92,59.24,163.07,31.39,33.33
177,sayyan,14,YE,1579999081,69,15.17,44.32,50.86,3.27
178,lakes entrance,0,AU,1579999081,39,-37.88,147.98,84.99,1.99
179,straumen,75,NO,1579999081,81,63.87,11.3,46.0,23.04
180,wisla,90,PL,1579999081,92,49.66,18.86,30.99,3.36
181,grand gaube,40,MU,1579999081,78,-20.01,57.66,77.0,12.75
182,bethel,90,US,1579998932,93,41.37,-73.41,50.0,3.36
183,noyabrsk,99,RU,1579999081,96,63.2,75.45,0.16,12.39
184,kamina,100,CD,1579999081,97,-8.74,24.99,65.34,2.91
185,mar del plata,0,AR,1579998954,45,-38.0,-57.56,68.0,13.87
186,meulaboh,73,ID,1579998958,82,4.14,96.13,81.19,6.53
187,channel-port aux basques,0,CA,1579999082,67,47.57,-59.14,25.3,6.15
188,sabha,98,LY,1579999082,22,27.04,14.43,58.15,12.62
189,coahuayana,40,MX,1579998980,69,18.73,-103.68,73.4,11.41
190,tingo maria,92,PE,1579999082,94,-9.29,-76.01,60.1,1.72
191,oussouye,100,SN,1579999082,73,12.48,-16.55,77.0,9.17
192,cherskiy,100,RU,1579998950,95,68.75,161.3,-20.88,2.28
193,killybegs,100,IE,1579999082,91,54.63,-8.45,46.99,14.0
194,jumla,24,NP,1579999083,56,29.27,82.18,22.8,4.72
195,inhambane,82,MZ,1579999083,81,-23.86,35.38,78.28,10.63
196,bengkulu,88,ID,1579998936,89,-3.8,102.27,74.98,2.44
197,damara,100,CF,1579999083,52,4.96,18.7,69.8,2.24
198,akyab,0,MM,1579999083,67,20.15,92.9,58.17,7.63
199,petropavlovsk-kamchatskiy,40,RU,1579999083,79,53.05,158.65,21.2,4.47
200,deep river,90,CA,1579998942,98,46.1,-77.5,33.01,5.82
201,camalu,3,MX,1579999084,45,30.85,-116.07,67.41,4.68
202,mehamn,100,NO,1579999084,77,71.04,27.85,17.69,21.21
203,bougouni,3,ML,1579999084,9,11.42,-7.48,74.28,4.85
204,lavrentiya,0,RU,1579998954,76,65.58,-171.0,-13.2,2.26
205,jeremoabo,13,BR,1579999084,86,-10.07,-38.48,74.55,8.46
206,machiques,4,VE,1579999085,62,10.06,-72.55,81.48,5.99
207,amapa,99,BR,1579998953,98,1.0,-52.0,74.21,3.71
